date,tag,title,link
2021/03/11,usecases, GKE 節點與Pod無法自動擴展, https://www.facebook.com/technologynoteniu/posts/243580810809392
2021/03/09,usecases, CPU Limit 造成服務效能不佳, https://www.facebook.com/technologynoteniu/posts/242276610939812
2021/03/07,usecases, Conntrack 造成 DNS 出問題, https://www.facebook.com/technologynoteniu/posts/240948024406004
2021/03/05,network, 如何於 Kubernetes 內使用 tcpdump, https://www.facebook.com/technologynoteniu/posts/239756171191856
2021/03/05,usecases, Conntrack 造成服務效能不佳, https://www.facebook.com/technologynoteniu/posts/239635037870636
2021/03/03,usecases, EKS頻繁斷線, https://www.facebook.com/technologynoteniu/posts/238352911332182
2021/03/01,network, rp_filter 介紹, https://www.facebook.com/technologynoteniu/posts/237086941458779
2021/02/27,usecases, CPU limit causes poor performance, https://www.facebook.com/technologynoteniu/posts/235844098249730
2021/02/25,usecases, Fluentd-bit 使用上的問題以及為什麼轉換到 Fluentd, https://www.facebook.com/technologynoteniu/posts/234528588381281
2021/02/24,introduction, Operator 的介紹與未來, https://www.facebook.com/technologynoteniu/posts/233903505110456
2021/02/22,introduction, Traefik 介紹文, https://www.facebook.com/technologynoteniu/posts/232583778575762
2021/02/20,usecases, Backup and restore your own kubernetes, https://www.facebook.com/technologynoteniu/posts/231223958711744
2021/02/18,cicd, Jenkins Operator, https://www.facebook.com/technologynoteniu/posts/229898645510942
2021/02/16,others,透過 Terraform 與 GitHub Pages 來打造一個維修中的頁面,https://www.facebook.com/technologynoteniu/posts/228590802308393
2021/02/14,cicd, 如何透過 ArgoRollout 來達到金絲雀部署, https://www.facebook.com/technologynoteniu/posts/227319199102220
2021/02/12,usecases, 如何運行一個最便宜的K8s 叢集, https://www.facebook.com/technologynoteniu/posts/225951499238990
2021/02/10,observability, Prometheus 教學文, https://www.facebook.com/technologynoteniu/posts/224611209373019
2021/02/08,usecases, 如何踏入 kubernetes 原始碼, https://www.facebook.com/technologynoteniu/posts/223360019498138
2021/02/06,introduction, Kustomize 入門介紹, https://www.facebook.com/technologynoteniu/posts/222172022950271
2021/02/04,others, DevOps 面試經驗談, https://www.facebook.com/technologynoteniu/posts/220867733080700
2021/02/02,others, 軟體工程師該如何撰寫一份有價值的技術文件, https://www.facebook.com/technologynoteniu/posts/219597926541014
2021/01/31,usecases, kubectl 1.18 帶來的不相容改變, https://www.facebook.com/technologynoteniu/posts/218323670001773
2021/01/29,network, Kubernetes Pod 如何透過 CNI 獲取 IP, https://www.facebook.com/technologynoteniu/posts/217032360130904
2021/01/27,terraform, 透過 Terraform 創建wordpress 的範例,https://www.facebook.com/technologynoteniu/posts/215764940257646
2021/01/25,container, Docker 20.10 的改變,https://www.facebook.com/technologynoteniu/posts/214479493719524
2021/01/23,container, Dockerfile 的小技巧,https://www.facebook.com/technologynoteniu/posts/213107267190080
2021/01/21,terraform, Terraform 範例介紹文, https://www.facebook.com/technologynoteniu/posts/211760017324805
2021/01/19,introduction, 2020 KubeConf 介紹, https://www.facebook.com/technologynoteniu/posts/210372760796864
2021/01/17,network, Ingress 介紹文,https://www.facebook.com/technologynoteniu/posts/209045874262886
2021/01/15,others, 勇敢說不，針對工作排列優先度, https://www.facebook.com/technologynoteniu/posts/207776997723107
2021/01/14,network, SDN 閒談, https://www.facebook.com/technologynoteniu/posts/207099121124228
2021/01/13,others,Rancher 針對 HCI 超融合架構所打造的 k8s 新專案, https://www.facebook.com/technologynoteniu/posts/206446664522807
2021/01/11,others,自建 Container Orchestration 平台的三兩事 https://www.facebook.com/technologynoteniu/posts/205169744650499
2021/01/10,introduction, secret 入門介紹, https://www.facebook.com/technologynoteniu/posts/203831131451027
2021/01/08,usecases, Jenkins 的一種玩法, https://www.facebook.com/technologynoteniu/posts/202375511596589
2021/01/06,cicd, git pre-commit hook 的妙用, https://www.facebook.com/technologynoteniu/posts/200872581746882
2021/01/04,cicd, helmfile 介紹, https://www.facebook.com/technologynoteniu/posts/199482255219248
2021/01/02,terraform, terraform try/can 功能談, https://www.facebook.com/technologynoteniu/posts/198137098687097
2020/12/31,usecases, 自動化的準則與經驗談, https://www.facebook.com/technologynoteniu/posts/196695848831222
2020/12/29,usecases, Kubernetes 管理經驗談, https://www.facebook.com/technologynoteniu/posts/195388485628625
2020/12/27,introduction, Liveness/Readiness 介紹,https://www.facebook.com/technologynoteniu/posts/194061299094677
2020/12/25,terraform, 小技巧打造更穩健的 Terraform, https://www.facebook.com/technologynoteniu/posts/192175929283214
2020/12/24,introduction, Kubernetes Job 介紹, https://www.facebook.com/technologynoteniu/posts/191446296022844
2020/12/23,cicd, 微軟專案 Bedrock 分享, https://www.facebook.com/technologynoteniu/posts/190725829428224
2020/12/22,usecases, Kubernetes 內的版本管理經驗, https://www.facebook.com/technologynoteniu/posts/189996906167783
2020/12/21,introduction, Knative Serverless 方案介紹, https://www.facebook.com/technologynoteniu/posts/188924539608353
2020/12/20,others, 遠傳加入 ONF, https://www.facebook.com/technologynoteniu/posts/188334676334006
2020/12/20,others, GitHub 2021 認證方式改變, https://www.facebook.com/technologynoteniu/posts/188312686336205
2020/12/20,introduction, Opetator 介紹文, https://www.facebook.com/technologynoteniu/posts/188184803015660
2020/12/19,tool, kubectl plugin 生態與工具介紹,https://www.facebook.com/technologynoteniu/posts/187434636424010
2020/12/18,introduction, service catalog 的介紹,https://www.facebook.com/technologynoteniu/posts/186718283162312
2020/12/17,network, 為什麼 Linked 決定自行打造 Linkerd2-proxy 而不使用主流的 Enovy, https://www.facebook.com/technologynoteniu/posts/185215013312639
2020/12/16,usecases, 如果可以重來，你會想要怎麼設計 kubernetes, https://www.facebook.com/technologynoteniu/posts/184646260036181
